Year,Cumulative global plastics production (million tonnes)
1950,2
1951,4
1952,6
1953,9
1954,12
1955,16
1956,21
1957,26
1958,32
1959,39
1960,47
1961,56
1962,67
1963,80
1964,95
1965,112
1966,132
1967,155
1968,182
1969,214
1970,249
1971,287
1972,331
1973,382
1974,434
1975,480
1976,534
1977,593
1978,657
1979,728
1980,798
1981,870
1982,943
1983,1023
1984,1109
1985,1199
1986,1295
1987,1399
1988,1509
1989,1623
1990,1743
1991,1867
1992,1999
1993,2136
1994,2287
1995,2443
1996,2611
1997,2791
1998,2979
1999,3181
2000,3394
2001,3612
2002,3843
2003,4084
2004,4340
2005,4603
2006,4883
2007,5178
2008,5459
2009,5747
2010,6060
2011,6385
2012,6723
2013,7075
2014,7442
2015,7823