Entity,Code,Plastic waste littered
Albania,ALB,3488
Algeria,DZA,47484
Angola,AGO,4712
Anguilla,AIA,73
Antigua and Barbuda,ATG,879
Argentina,ARG,60004
Aruba,ABW,692
Australia,AUS,38052
Bahamas,BHS,2650
Bahrain,BHR,1955
Bangladesh,BGD,48457
Barbados,BRB,3142
Belgium,BEL,7515
Belize,BLZ,691
Benin,BEN,2778
Bermuda,BMU,336
Bosnia and Herzegovina,BIH,1679
Brazil,BRA,245431
British Virgin Islands,VGB,149
Brunei,BRN,185
Bulgaria,BGR,3067
Cambodia,KHM,1828
Cameroon,CMR,1820
Canada,CAN,21807
Cape Verde,CPV,676
Cayman Islands,CYM,260
Channel Islands,OWID_CIS,770
Chile,CHL,13296
China,CHN,633308
Christmas Island,CXR,7
Cocos Islands,CCK,3
Colombia,COL,21506
Comoros,COM,3747
Congo,COG,1164
Cook Islands,COK,60
Costa Rica,CRI,12779
Cote d'Ivoire,CIV,12748
Croatia,HRV,8044
Cuba,CUB,20104
Curacao,CUW,722
Cyprus,CYP,4158
Democratic Republic of Congo,COD,963
Denmark,DNK,4906
Djibouti,DJI,1272
Dominica,DMA,208
Dominican Republic,DOM,23611
Ecuador,ECU,18731
Egypt,EGY,77179
El Salvador,SLV,18762
Equatorial Guinea,GNQ,1008
Eritrea,ERI,1133
Estonia,EST,3085
Faeroe Islands,FRO,254
Falkland Islands,FLK,13
Fiji,FJI,3369
Finland,FIN,13657
France,FRA,66051
French Guiana,GUF,481
French Polynesia,PYF,1358
Gabon,GAB,927
Gambia,GMB,1256
Georgia,GEO,1501
Germany,DEU,85586
Ghana,GHA,6044
Gibraltar,GIB,168
Greece,GRC,38983
Greenland,GRL,286
Grenada,GRD,623
Guadeloupe,GLP,1337
Guam,GUM,958
Guatemala,GTM,13350
Guernsey,GGY,283
Guinea,GIN,1186
Guinea-Bissau,GNB,1298
Guyana,GUY,5991
Haiti,HTI,16389
Honduras,HND,12484
Hong Kong,HKG,60131
Iceland,ISL,1639
India,IND,37611
Indonesia,IDN,213210
Iran,IRN,26098
Iraq,IRQ,1308
Ireland,IRL,32082
Israel,ISR,39498
Italy,ITA,89755
Jamaica,JAM,1924
Japan,JPN,392112
Jordan,JOR,159
Kenya,KEN,1466
Kiribati,KIR,193
Kuwait,KWT,31355
Latvia,LVA,3525
Lebanon,LBN,7300
Liberia,LBR,3596
Libya,LBY,11616
Lithuania,LTU,1167
Macao,MAC,1892
Madagascar,MDG,2203
Malaysia,MYS,90114
Maldives,MDV,2522
Malta,MLT,1722
Marshall Islands,MHL,222
Martinique,MTQ,2019
Mauritania,MRT,900
Mauritius,MUS,5748
Mexico,MEX,39036
Micronesia (country),FSM,317
Monaco,MCO,171
Montenegro,MNE,747
Montserrat,MSR,15
Morocco,MAR,25010
Mozambique,MOZ,2933
Myanmar,MMR,28323
Namibia,NAM,445
Nauru,NRU,44
Netherlands,NLD,75890
Netherlands Antilles,ANT,1140
New Caledonia,NCL,1294
New Zealand,NZL,25440
Nicaragua,NIC,9922
Nigeria,NGA,56221
Niue,NIU,9
Norfolk Island,NFK,4
North Korea,PRK,18610
Northern Mariana Islands,MNP,533
Norway,NOR,23022
Oman,OMN,4346
Pakistan,PAK,29836
Palau,PLW,67
Palestine,PSE,3825
Panama,PAN,9397
Papua New Guinea,PNG,5622
Peru,PER,39480
Philippines,PHL,124753
Poland,POL,6308
Portugal,PRT,44938
Puerto Rico,PRI,21330
Qatar,QAT,2076
Reunion,REU,2321
Romania,ROU,719
Russia,RUS,24033
Saint Helena,SHN,20
Saint Kitts and Nevis,KNA,470
Saint Lucia,LCA,1697
Saint Pierre and Miquelon,SPM,30
Saint Vincent and the Grenadines,VCT,529
Samoa,WSM,344
Sao Tome and Principe,STP,335
Saudi Arabia,SAU,11165
Senegal,SEN,16625
Seychelles,SYC,651
Sierra Leone,SLE,2325
Singapore,SGP,17337
Sint Maarten (Dutch part),SXM,188
Slovenia,SVN,973
Solomon Islands,SLB,1266
Somalia,SOM,6413
South Africa,ZAF,61658
South Korea,KOR,92457
Spain,ESP,125623
Sri Lanka,LKA,103274
Sudan,SDN,1540
Suriname,SUR,1308
Sweden,SWE,5892
Syria,SYR,12852
Taiwan,TWN,111480
Tanzania,TZA,3113
Thailand,THA,74693
Togo,TGO,2268
Tokelau,TKL,3
Tonga,TON,454
Trinidad and Tobago,TTO,97612
Tunisia,TUN,20865
Turkey,TUR,144012
Turks and Caicos Islands,TCA,113
Tuvalu,TUV,33
Ukraine,UKR,13940
United Arab Emirates,ARE,8007
United Kingdom,GBR,185066
United States,USA,754588
Uruguay,URY,12214
Vanuatu,VUT,1479
Venezuela,VEN,80780
Vietnam,VNM,114292
Yemen,YEM,12377